epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,305.678,0.89433,0.6887,1.31893,0.089,0.46154,0.10111,0.04989,2.25413,7.06679,3.23859,0.0011684,0.0011684,0.0011684
44,312.671,0.9233,0.66712,1.32487,0.16905,0.61538,0.26398,0.09796,1.96675,3.35048,2.91227,0.0011486,0.0011486,0.0011486
45,319.63,0.90189,0.68722,1.20579,0.16905,0.61538,0.26398,0.09796,1.96675,3.35048,2.91227,0.0011288,0.0011288,0.0011288
46,326.661,0.87719,0.69557,1.2108,0.3226,0.30769,0.21612,0.06775,2.41473,4.01804,3.14478,0.001109,0.001109,0.001109
47,333.731,0.96667,0.66985,1.30169,0.55342,0.07692,0.09758,0.04545,2.88649,5.99282,3.48283,0.0010892,0.0010892,0.0010892
48,340.782,0.86216,0.66882,1.29015,0.37587,0.07692,0.10939,0.04727,3.15958,5.74577,3.61951,0.0010694,0.0010694,0.0010694
49,347.723,0.90877,0.62471,1.27434,0.37587,0.07692,0.10939,0.04727,3.15958,5.74577,3.61951,0.0010496,0.0010496,0.0010496
50,354.741,0.97756,0.67595,1.28549,0.58459,0.30769,0.30926,0.1047,2.50768,4.38201,3.23009,0.0010298,0.0010298,0.0010298
51,361.785,0.93686,0.61508,1.29853,0.79832,0.23077,0.35642,0.15841,2.13998,3.159,2.94795,0.00101,0.00101,0.00101
52,368.797,0.9248,0.67007,1.27126,1,0.45086,0.64096,0.32036,1.83224,1.91688,2.69426,0.0009902,0.0009902,0.0009902
53,375.763,0.88609,0.60499,1.30694,1,0.45086,0.64096,0.32036,1.83224,1.91688,2.69426,0.0009704,0.0009704,0.0009704
54,382.756,0.84836,0.61184,1.31861,0.87395,0.69231,0.83064,0.4225,1.72545,1.58416,2.65866,0.0009506,0.0009506,0.0009506
55,389.813,0.84805,0.60714,1.28852,0.96427,0.84615,0.94692,0.67097,1.10645,0.90255,2.03219,0.0009308,0.0009308,0.0009308
56,396.828,0.80009,0.55166,1.2098,1,0.9146,0.98188,0.66201,1.21204,1.076,2.23423,0.000911,0.000911,0.000911
57,403.789,0.85725,0.62863,1.23113,1,0.9146,0.98188,0.66201,1.21204,1.076,2.23423,0.0008912,0.0008912,0.0008912
58,410.772,0.91507,0.66494,1.31461,1,0.90623,0.97853,0.61111,1.35186,1.03076,2.36337,0.0008714,0.0008714,0.0008714
59,417.843,0.8366,0.59598,1.26592,0.92129,0.90168,0.97238,0.59973,1.45166,1.0249,2.31779,0.0008516,0.0008516,0.0008516
60,424.839,0.75047,0.54096,1.18579,1,0.88874,0.98188,0.55004,1.43412,1.00217,2.33088,0.0008318,0.0008318,0.0008318
61,431.821,0.84707,0.54931,1.23898,1,0.88874,0.98188,0.55004,1.43412,1.00217,2.33088,0.000812,0.000812,0.000812
62,438.897,0.81206,0.56184,1.24994,0.80353,0.94478,0.93302,0.58976,1.29472,0.89349,2.15211,0.0007922,0.0007922,0.0007922
63,445.945,0.73475,0.50514,1.1573,0.91489,1,0.99,0.54329,1.48523,1.12303,2.20448,0.0007724,0.0007724,0.0007724
64,452.868,0.8783,0.63101,1.27647,0.89102,0.84615,0.9671,0.46917,1.6153,1.30593,2.27392,0.0007526,0.0007526,0.0007526
65,459.727,0.78837,0.5158,1.1777,0.89102,0.84615,0.9671,0.46917,1.6153,1.30593,2.27392,0.0007328,0.0007328,0.0007328
66,466.63,0.72414,0.50331,1.16307,0.76234,0.98765,0.95586,0.56451,1.30803,1.17296,2.05899,0.000713,0.000713,0.000713
67,473.551,0.77673,0.57189,1.21111,0.92112,1,0.97357,0.69032,1.06154,0.82978,1.87925,0.0006932,0.0006932,0.0006932
68,480.417,0.74395,0.52945,1.20018,0.91897,1,0.98429,0.71615,1.07702,0.77263,1.9498,0.0006734,0.0006734,0.0006734
69,487.298,0.7666,0.52815,1.18688,0.91897,1,0.98429,0.71615,1.07702,0.77263,1.9498,0.0006536,0.0006536,0.0006536
70,494.298,0.70143,0.48463,1.14226,0.99812,1,0.995,0.6931,1.1218,0.76831,2.06006,0.0006338,0.0006338,0.0006338
71,501.135,0.71475,0.51324,1.16868,0.99058,1,0.995,0.68884,1.15676,0.74374,2.13684,0.000614,0.000614,0.000614
72,508.091,0.72813,0.52879,1.18469,0.98221,1,0.995,0.66383,1.24168,0.70579,2.26472,0.0005942,0.0005942,0.0005942
73,514.959,0.76674,0.54302,1.22093,0.98221,1,0.995,0.66383,1.24168,0.70579,2.26472,0.0005744,0.0005744,0.0005744
74,522.015,0.71149,0.5071,1.18475,0.98982,1,0.995,0.6769,1.18358,0.69474,2.19808,0.0005546,0.0005546,0.0005546
75,529.045,0.65766,0.46791,1.13761,0.98691,1,0.995,0.67639,1.13267,0.65937,2.20303,0.0005348,0.0005348,0.0005348
76,536.017,0.74624,0.54091,1.17381,0.98414,1,0.995,0.67385,1.13732,0.68067,2.2411,0.000515,0.000515,0.000515
77,542.868,0.74053,0.51329,1.19214,0.98414,1,0.995,0.67385,1.13732,0.68067,2.2411,0.0004952,0.0004952,0.0004952
78,549.834,0.71207,0.50598,1.1457,0.96997,1,0.995,0.68546,1.16876,0.7189,2.26998,0.0004754,0.0004754,0.0004754
79,556.784,0.69504,0.48178,1.17995,0.91897,1,0.99,0.64992,1.21626,0.72418,2.30667,0.0004556,0.0004556,0.0004556
80,563.718,0.55697,0.41293,1.09918,1,0.99523,0.995,0.65661,1.25712,0.70584,2.36596,0.0004358,0.0004358,0.0004358
81,570.573,0.62745,0.43565,1.12096,1,0.99523,0.995,0.65661,1.25712,0.70584,2.36596,0.000416,0.000416,0.000416
82,577.651,0.71879,0.49084,1.15051,0.92452,1,0.97857,0.63372,1.30891,0.66031,2.40423,0.0003962,0.0003962,0.0003962
83,584.715,0.6412,0.43726,1.11445,0.85557,1,0.97336,0.65167,1.29167,0.64899,2.34731,0.0003764,0.0003764,0.0003764
84,591.754,0.60887,0.41796,1.10811,0.92684,0.97578,0.98429,0.66615,1.22883,0.63571,2.26026,0.0003566,0.0003566,0.0003566
85,598.631,0.60391,0.43846,1.0868,0.92684,0.97578,0.98429,0.66615,1.22883,0.63571,2.26026,0.0003368,0.0003368,0.0003368
86,605.611,0.68014,0.49618,1.20679,0.9229,1,0.98429,0.69441,1.14349,0.64849,2.14615,0.000317,0.000317,0.000317
87,612.551,0.63865,0.45119,1.12789,0.86026,1,0.97951,0.70028,1.08955,0.60053,2.01754,0.0002972,0.0002972,0.0002972
88,619.368,0.62378,0.52192,1.10135,1,0.97178,0.995,0.7014,1.08578,0.56038,1.9684,0.0002774,0.0002774,0.0002774
89,626.229,0.5824,0.41821,1.09125,1,0.97178,0.995,0.7014,1.08578,0.56038,1.9684,0.0002576,0.0002576,0.0002576
90,633.214,0.66262,0.48076,1.10283,1,0.99168,0.995,0.70208,1.06724,0.58132,1.94403,0.0002378,0.0002378,0.0002378
91,641.063,0.50254,0.52059,1.14022,0.99228,1,0.995,0.73535,1.00692,0.56697,1.91522,0.000218,0.000218,0.000218
92,648.18,0.49434,0.46307,1.05738,0.92482,1,0.98429,0.75585,0.97369,0.55928,1.88143,0.0001982,0.0001982,0.0001982
93,655.178,0.48453,0.41004,1.03979,0.92482,1,0.98429,0.75585,0.97369,0.55928,1.88143,0.0001784,0.0001784,0.0001784
94,662.077,0.57735,0.4597,1.16452,1,0.9925,0.995,0.7749,0.99563,0.52312,1.90866,0.0001586,0.0001586,0.0001586
95,669.005,0.4223,0.34843,1.03943,0.99766,1,0.995,0.77108,1.00813,0.49319,1.90929,0.0001388,0.0001388,0.0001388
96,675.881,0.49972,0.39858,1.12018,0.99785,1,0.995,0.75049,0.99779,0.4883,1.90513,0.000119,0.000119,0.000119
97,682.83,0.47003,0.36449,1.06509,0.99785,1,0.995,0.75049,0.99779,0.4883,1.90513,9.92e-05,9.92e-05,9.92e-05
98,689.717,0.46805,0.36272,1.05567,0.99784,1,0.995,0.76568,0.98787,0.48411,1.90043,7.94e-05,7.94e-05,7.94e-05
99,696.67,0.4672,0.35926,1.06376,0.99806,1,0.995,0.76652,0.97976,0.48915,1.89026,5.96e-05,5.96e-05,5.96e-05
100,703.717,0.43789,0.34565,1.01467,0.99819,1,0.995,0.76397,0.97624,0.48487,1.88977,3.98e-05,3.98e-05,3.98e-05
